Gene Name,Transcript Name,Description
Phvul.009G191000,Phvul.009G191000.2,1.13.11.19 - Cysteamine dioxygenase / Persulfurase (1 of 8)
Phvul.008G273300,Phvul.008G273300.1,2.3.1.75 - Long-chain-alcohol O-fatty-acyltransferase / Wax synthase (1 of 7)
Phvul.006G204400,Phvul.006G204400.1,"K01464 - dihydropyrimidinase (DPYS, dht, hydA)  (1 of 2)"
Phvul.003G277200,Phvul.003G277200.1,PTHR12526:SF316 - UDP-GLYCOSYLTRANSFERASE FAMILY PROTEIN (1 of 2)
Phvul.002G318400,Phvul.002G318400.2,
Phvul.011G049100,Phvul.011G049100.1,
Phvul.010G134300,Phvul.010G134300.8,
Phvul.002G071900,Phvul.002G071900.5,
Phvul.001G235400,Phvul.001G235400.2,
Phvul.003G115000,Phvul.003G115000.1,PTHR31707:SF47 - PLANT INVERTASE/PECTIN METHYLESTERASE INHIBITOR DOMAIN-CONTAINING PROTEIN (1 of 4)
Phvul.004G067700,Phvul.004G067700.1,PTHR24031:SF42 - ATP-DEPENDENT RNA HELICASE DDX59-RELATED (1 of 1)
Phvul.004G137300,Phvul.004G137300.1,PTHR11017//PTHR11017:SF171 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED (1 of 15)
Phvul.008G166300,Phvul.008G166300.1,
Phvul.004G012400,Phvul.004G012400.1,K03248 - translation initiation factor 3 subunit G (EIF3G)  (1 of 2)
Phvul.007G117400,Phvul.007G117400.2,
Phvul.006G182900,Phvul.006G182900.3,
Phvul.009G177300,Phvul.009G177300.1,PTHR12326 - PLECKSTRIN HOMOLOGY DOMAIN CONTAINING PROTEIN (1 of 1)
Phvul.010G029100,Phvul.010G029100.1,PF00931//PF01582 - NB-ARC domain (NB-ARC)  // TIR domain (TIR)  (1 of 28)
Phvul.008G192600,Phvul.008G192600.1,PTHR31100:SF13 - AT-HOOK MOTIF NUCLEAR LOCALIZED PROTEIN 15 (1 of 2)
Phvul.007G239900,Phvul.007G239900.1,PTHR33527:SF4 - F13F21.27 PROTEIN-RELATED (1 of 2)
Phvul.003G245800,Phvul.003G245800.2,PTHR19878:SF4 - TRANSDUCIN/WD40 DOMAIN-CONTAINING PROTEIN (1 of 2)
Phvul.010G112200,Phvul.010G112200.1,PF11282 - Protein of unknown function (DUF3082) (DUF3082)  (1 of 2)
Phvul.001G212900,Phvul.001G212900.1,"PTHR33921:SF2 - CALVIN CYCLE PROTEIN CP12-1, CHLOROPLASTIC-RELATED (1 of 2)"
Phvul.008G205700,Phvul.008G205700.4,
Phvul.006G182000,Phvul.006G182000.2,
Phvul.001G070500,Phvul.001G070500.1,PTHR21669 - CAPZ-INTERACTING PROTEIN AND RELATED PROTEINS (1 of 2)
Phvul.002G229000,Phvul.002G229000.1,PTHR23257//PTHR23257:SF81 - SERINE-THREONINE PROTEIN KINASE // SUBFAMILY NOT NAMED (1 of 3)
Phvul.002G294800,Phvul.002G294800.2,PTHR21495//PTHR21495:SF49 - NUCLEOPORIN-RELATED // SUBFAMILY NOT NAMED (1 of 1)
Phvul.011G082600,Phvul.011G082600.1,"PTHR11353:SF11 - CHAPERONIN 60 SUBUNIT ALPHA 1, CHLOROPLASTIC (1 of 1)"
Phvul.008G208000,Phvul.008G208000.1,1.3.1.83 - Geranylgeranyl diphosphate reductase / Geranylgeranyl reductase (1 of 2)
Phvul.006G098200,Phvul.006G098200.7,
Phvul.010G015100,Phvul.010G015100.4,
Phvul.008G133800,Phvul.008G133800.1,PF11998 - Protein of unknown function (DUF3493) (DUF3493)  (1 of 2)
Phvul.005G090100,Phvul.005G090100.1,"PTHR12903:SF1 - 50S RIBOSOMAL PROTEIN L24, CHLOROPLASTIC (1 of 1)"
Phvul.011G079000,Phvul.011G079000.1,PTHR18929:SF74 - PROTEIN DISULFIDE-ISOMERASE A3 (1 of 2)
Phvul.011G129215,Phvul.011G129215.1,1.13.11.19 - Cysteamine dioxygenase / Persulfurase (1 of 8)
Phvul.L010243,Phvul.L010243.2,
Phvul.005G071000,Phvul.005G071000.1,
Phvul.004G040600,Phvul.004G040600.1,PF12776 - Myb/SANT-like DNA-binding domain (Myb_DNA-bind_3)  (1 of 47)
Phvul.002G061800,Phvul.002G061800.5,
Phvul.011G179600,Phvul.011G179600.1,
Phvul.008G159200,Phvul.008G159200.2,
Phvul.002G098300,Phvul.002G098300.1,
Phvul.009G185900,Phvul.009G185900.1,1.8.1.8 - Protein-disulfide reductase / Protein disulfide reductase (1 of 10)
Phvul.002G006100,Phvul.002G006100.1,PTHR13832:SF340 - PROTEIN PHOSPHATASE 2C 29 (1 of 2)
Phvul.002G021100,Phvul.002G021100.5,PTHR24361//PTHR24361:SF419 - MITOGEN-ACTIVATED KINASE KINASE KINASE // SUBFAMILY NOT NAMED (1 of 1)
Phvul.002G128600,Phvul.002G128600.2,
Phvul.001G058300,Phvul.001G058300.1,PTHR32382:SF15 - FASCICLIN-LIKE ARABINOGALACTAN PROTEIN 3-RELATED (1 of 3)
Phvul.002G089400,Phvul.002G089400.5,
Phvul.004G089600,Phvul.004G089600.10,
Phvul.001G200200,Phvul.001G200200.2,
Phvul.008G109466,Phvul.008G109466.1,
Phvul.005G010100,Phvul.005G010100.4,
Phvul.003G138526,Phvul.003G138526.1,
Phvul.006G152500,Phvul.006G152500.1,PTHR10252:SF39 - NUCLEAR TRANSCRIPTION FACTOR Y SUBUNIT C-1-RELATED (1 of 2)
Phvul.002G286300,Phvul.002G286300.7,
Phvul.006G002500,Phvul.006G002500.1,PTHR23012:SF25 - RING/U-BOX DOMAIN-CONTAINING PROTEIN (1 of 4)
Phvul.007G141400,Phvul.007G141400.2,PF07734//PF12937 - F-box associated (FBA_1)  // F-box-like (F-box-like)  (1 of 2)
Phvul.007G269400,Phvul.007G269400.2,
Phvul.009G079300,Phvul.009G079300.3,
Phvul.001G115600,Phvul.001G115600.1,PTHR33284:SF1 - RIBOSOMAL L25/TL5/CTC N-TERMINAL 5S RRNA BINDING DOMAIN-CONTAINING PROTEIN (1 of 1)
Phvul.009G092000,Phvul.009G092000.1,PTHR31731:SF19 - BIFUNCTIONAL INHIBITOR/LIPID-TRANSFER PROTEIN/SEED STORAGE 2S ALBUMIN SUPERFAMILY PROTEIN (1 of 2)
Phvul.007G199600,Phvul.007G199600.2,PTHR31875:SF0 - PROTEIN DEHYDRATION-INDUCED 19-RELATED (1 of 1)
Phvul.007G197900,Phvul.007G197900.1,"K02883 - large subunit ribosomal protein L18e (RP-L18e, RPL18)  (1 of 4)"
Phvul.006G090000,Phvul.006G090000.2,
Phvul.004G087000,Phvul.004G087000.1,PTHR11709:SF94 - LACCASE-15 (1 of 3)
Phvul.008G014100,Phvul.008G014100.1,1.10.3.9 - Photosystem II (1 of 10)
Phvul.007G259050,Phvul.007G259050.1,
Phvul.001G137000,Phvul.001G137000.8,
Phvul.008G059300,Phvul.008G059300.1,3.4.24.84 - Ste24 endopeptidase / Prenyl protein-specific endoprotease 1 (1 of 1)
Phvul.002G119500,Phvul.002G119500.2,
Phvul.008G208114,Phvul.008G208114.1,PTHR22835//PTHR22835:SF180 - ZINC FINGER FYVE DOMAIN CONTAINING PROTEIN // SUBFAMILY NOT NAMED (1 of 1)
Phvul.007G083600,Phvul.007G083600.2,
Phvul.008G202800,Phvul.008G202800.1,3.4.16.2 - Lysosomal Pro-Xaa carboxypeptidase / Prolyl carboxypeptidase (1 of 10)
Phvul.010G133900,Phvul.010G133900.2,PF13962 - Domain of unknown function (PGG)  (1 of 69)
Phvul.008G161600,Phvul.008G161600.2,
Phvul.005G154500,Phvul.005G154500.1,PF03514 - GRAS domain family (GRAS)  (1 of 55)
Phvul.006G119700,Phvul.006G119700.2,PTHR34188:SF1 - T6A9.7 PROTEIN (1 of 3)
Phvul.001G198800,Phvul.001G198800.1,PTHR31422:SF0 - F26K24.14 PROTEIN-RELATED (1 of 2)
Phvul.011G213600,Phvul.011G213600.1,PTHR24073:SF458 - RAS-RELATED PROTEIN RABA4A (1 of 1)
Phvul.010G099700,Phvul.010G099700.1,PTHR15486:SF27 - GLYCEROL-3-PHOSPHATE 2-O-ACYLTRANSFERASE 4-RELATED (1 of 1)
Phvul.007G200200,Phvul.007G200200.1,PTHR13710:SF70 - BLOOM SYNDROME PROTEIN (1 of 1)
Phvul.005G119300,Phvul.005G119300.5,
Phvul.001G263400,Phvul.001G263400.1,PTHR11945//PTHR11945:SF196 - MADS BOX PROTEIN // SUBFAMILY NOT NAMED (1 of 4)
Phvul.009G232100,Phvul.009G232100.4,
Phvul.009G244200,Phvul.009G244200.1,1.14.13.89 - Isoflavone 2'-hydroxylase / Isoflavone 2'-monooxygenase (1 of 12)
Phvul.010G096700,Phvul.010G096700.1,
Phvul.009G051300,Phvul.009G051300.1,PTHR19959//PTHR19959:SF171 - KINESIN LIGHT CHAIN // SUBFAMILY NOT NAMED (1 of 1)
Phvul.009G086500,Phvul.009G086500.2,
Phvul.009G251300,Phvul.009G251300.1,
Phvul.005G121000,Phvul.005G121000.1,PTHR33057:SF17 - GB (1 of 4)
Phvul.008G068300,Phvul.008G068300.1,K15095 - (+)-neomenthol dehydrogenase (E1.1.1.208)  (1 of 10)
Phvul.L002746,Phvul.L002746.1,PTHR24423:SF381 - HISTIDINE KINASE 3 (1 of 1)
Phvul.007G153000,Phvul.007G153000.1,PTHR11615:SF116 - CASPARIAN STRIP MEMBRANE PROTEIN 1-RELATED (1 of 3)
Phvul.007G054200,Phvul.007G054200.1,PTHR23024//PTHR23024:SF138 - MEMBER OF 'GDXG' FAMILY OF LIPOLYTIC ENZYMES // SUBFAMILY NOT NAMED (1 of 1)
Phvul.011G117500,Phvul.011G117500.1,PTHR31692:SF5 - EXPANSIN-B1-RELATED (1 of 2)
Phvul.011G133100,Phvul.011G133100.1,K14488 - SAUR family protein (SAUR)  (1 of 75)
Phvul.008G272000,Phvul.008G272000.1,PTHR31321:SF32 - PECTINESTERASE 52-RELATED (1 of 6)
Phvul.002G313700,Phvul.002G313700.1,
Phvul.009G226500,Phvul.009G226500.1,
Phvul.008G205300,Phvul.008G205300.2,
Phvul.005G113300,Phvul.005G113300.5,
Phvul.007G070400,Phvul.007G070400.1,PF00560//PF08263//PF13855 - Leucine Rich Repeat (LRR_1)  // Leucine rich repeat N-terminal domain (LRRNT_2)  // Leucine rich repeat (LRR_8)  (1 of 49)
Phvul.001G215100,Phvul.001G215100.1,PTHR10641:SF494 - TRANSCRIPTION FACTOR MYB108 (1 of 3)
Phvul.005G113300,Phvul.005G113300.6,
Phvul.010G118600,Phvul.010G118600.11,
Phvul.002G285400,Phvul.002G285400.1,K13146 - integrator complex subunit 9 (INTS9)  (1 of 1)
Phvul.003G030300,Phvul.003G030300.1,2.1.1.183 - 18S rRNA (adenine(1779)-N(6)/adenine(1780)-N(6))-dimethyltransferase (1 of 3)
Phvul.004G022000,Phvul.004G022000.1,KOG0156 - Cytochrome P450 CYP2 subfamily (1 of 118)
Phvul.010G082000,Phvul.010G082000.1,1.14.15.7 - Choline monooxygenase (1 of 3)
Phvul.006G132000,Phvul.006G132000.1,PTHR10044//PTHR10044:SF121 - INHIBITOR OF APOPTOSIS // SUBFAMILY NOT NAMED (1 of 2)
Phvul.005G018300,Phvul.005G018300.1,PTHR35753:SF1 - PROLINE-RICH FAMILY PROTEIN (1 of 1)
Phvul.002G273200,Phvul.002G273200.1,PTHR10625:SF104 - HISTONE DEACETYLASE 6 (1 of 1)
Phvul.002G281400,Phvul.002G281400.1,PTHR10857:SF26 - PROTEIN BONZAI 3 (1 of 4)
Phvul.009G185800,Phvul.009G185800.1,K09579 - peptidyl-prolyl cis-trans isomerase NIMA-interacting 4 [EC:5.2.1.8] (PIN4)  (1 of 1)
Phvul.009G191000,Phvul.009G191000.4,
Phvul.004G135800,Phvul.004G135800.1,"K07407 - alpha-galactosidase (E3.2.1.22B, galA, rafA)  (1 of 3)"
Phvul.005G034666,Phvul.005G034666.1,1.1.1.195 - Cinnamyl-alcohol dehydrogenase / CAD (1 of 20)
Phvul.008G289500,Phvul.008G289500.1,4.3.1.24 - Phenylalanine ammonia-lyase (1 of 6)
Phvul.004G052101,Phvul.004G052101.1,2.7.11.1 - Non-specific serine/threonine protein kinase / Threonine-specific protein kinase (1 of 1198)
Phvul.004G138500,Phvul.004G138500.1,PF00197 - Trypsin and protease inhibitor (Kunitz_legume)  (1 of 24)
Phvul.003G112200,Phvul.003G112200.1,"K02905 - large subunit ribosomal protein L29e (RP-L29e, RPL29)  (1 of 2)"
Phvul.011G193001,Phvul.011G193001.1,PTHR23155//PTHR23155:SF414 - LEUCINE-RICH REPEAT-CONTAINING PROTEIN // SUBFAMILY NOT NAMED (1 of 124)
Phvul.011G193500,Phvul.011G193500.1,PF00931//PF13855 - NB-ARC domain (NB-ARC)  // Leucine rich repeat (LRR_8)  (1 of 27)
Phvul.009G034000,Phvul.009G034000.1,PTHR22951//PTHR22951:SF24 - CLATHRIN ASSEMBLY PROTEIN // SUBFAMILY NOT NAMED (1 of 2)
Phvul.007G262400,Phvul.007G262400.2,
Phvul.003G166900,Phvul.003G166900.1,2.3.1.48 - Histone acetyltransferase (1 of 28)
Phvul.L001981,Phvul.L001981.1,
Phvul.002G212900,Phvul.002G212900.1,K17619 - magnesium-dependent phosphatase 1 [EC:3.1.3.48 3.1.3.-] (MDP1)  (1 of 2)
Phvul.002G310900,Phvul.002G310900.1,"K15190 - 7SK snRNA methylphosphate capping enzyme [EC:2.1.1.-] (MEPCE, BCDIN3)  (1 of 1)"
Phvul.003G143500,Phvul.003G143500.1,
Phvul.001G199200,Phvul.001G199200.1,PTHR10627//PTHR10627:SF43 - SCP160 // SUBFAMILY NOT NAMED (1 of 1)
Phvul.002G162700,Phvul.002G162700.1,PTHR23257:SF454 - SERINE/THREONINE-PROTEIN KINASE QKGA-RELATED (1 of 1)
Phvul.006G202100,Phvul.006G202100.1,K08596 - sentrin-specific protease 7 [EC:3.4.22.68] (SENP7)  (1 of 2)
Phvul.002G237100,Phvul.002G237100.21,
Phvul.002G001900,Phvul.002G001900.5,
Phvul.005G177601,Phvul.005G177601.2,
Phvul.010G061800,Phvul.010G061800.1,
Phvul.003G136600,Phvul.003G136600.1,PF05553//PF14364 - Cotton fibre expressed protein (DUF761)  // Domain of unknown function (DUF4408) (DUF4408)  (1 of 5)
Phvul.011G133300,Phvul.011G133300.1,3.4.22.33 - Fruit bromelain (1 of 20)
Phvul.004G162200,Phvul.004G162200.1,1.2.1.5 - Aldehyde dehydrogenase (NAD(P)(+)) (1 of 4)
Phvul.003G000252,Phvul.003G000252.1,K06874 - zinc finger protein (K06874)  (1 of 3)
Phvul.002G031400,Phvul.002G031400.2,
Phvul.004G053700,Phvul.004G053700.1,PF00046 - Homeobox domain (Homeobox)  (1 of 84)
Phvul.002G004600,Phvul.002G004600.1,PTHR12050//PTHR12050:SF4 - LEPTIN RECEPTOR-RELATED // SUBFAMILY NOT NAMED (1 of 1)
Phvul.008G221900,Phvul.008G221900.1,PF07714//PF08263//PF13855 - Protein tyrosine kinase (Pkinase_Tyr)  // Leucine rich repeat N-terminal domain (LRRNT_2)  // Leucine rich repeat (LRR_8)  (1 of 16)
Phvul.001G142000,Phvul.001G142000.1,PTHR33493:SF2 - LATE EMBRYOGENESIS ABUNDANT PROTEIN 4-5 (1 of 3)
Phvul.008G142300,Phvul.008G142300.1,
Phvul.005G128200,Phvul.005G128200.2,K11824 - AP-2 complex subunit alpha (AP2A)  (1 of 1)
Phvul.003G113700,Phvul.003G113700.1,PF03140 - Plant protein of unknown function (DUF247)  (1 of 36)
Phvul.002G239300,Phvul.002G239300.1,PTHR12411:SF371 - CATHEPSIN O (1 of 2)
Phvul.003G233300,Phvul.003G233300.1,
Phvul.003G033800,Phvul.003G033800.1,PTHR11668//PTHR11668:SF244 - SERINE/THREONINE PROTEIN PHOSPHATASE // SUBFAMILY NOT NAMED (1 of 1)
Phvul.010G097800,Phvul.010G097800.1,3.4.19.12 - Ubiquitinyl hydrolase 1 / Ubiquitin thiolesterase (1 of 69)
Phvul.006G070400,Phvul.006G070400.1,PF02151//PF13474 - UvrB/uvrC motif (UVR)  // SnoaL-like domain (SnoaL_3)  (1 of 2)
Phvul.005G113300,Phvul.005G113300.4,
Phvul.003G240600,Phvul.003G240600.1,PTHR12801:SF69 - RNA EXONUCLEASE NEF-SP-RELATED (1 of 1)
Phvul.003G047900,Phvul.003G047900.1,K00588 - caffeoyl-CoA O-methyltransferase (E2.1.1.104)  (1 of 6)
Phvul.003G106900,Phvul.003G106900.2,PTHR10992:SF829 - ALPHA/BETA-HYDROLASES SUPERFAMILY PROTEIN (1 of 1)
Phvul.005G105400,Phvul.005G105400.1,PF03168 - Late embryogenesis abundant protein (LEA_2)  (1 of 55)
Phvul.002G262300,Phvul.002G262300.1,
Phvul.007G258800,Phvul.007G258800.1,PF12796//PF13962 - Ankyrin repeats (3 copies) (Ank_2)  // Domain of unknown function (PGG)  (1 of 27)
Phvul.009G173800,Phvul.009G173800.4,
Phvul.003G234400,Phvul.003G234400.5,
Phvul.006G118100,Phvul.006G118100.1,PTHR23118//PTHR23118:SF3 - ATP-CITRATE SYNTHASE // SUBFAMILY NOT NAMED (1 of 2)
Phvul.006G144700,Phvul.006G144700.1,PF12056 - Protein of unknown function (DUF3537) (DUF3537)  (1 of 6)
Phvul.005G059300,Phvul.005G059300.1,K02726 - 20S proteasome subunit alpha 2 (PSMA2)  (1 of 1)
Phvul.002G254100,Phvul.002G254100.2,
Phvul.005G033600,Phvul.005G033600.1,
Phvul.003G100600,Phvul.003G100600.1,PTHR10110:SF117 - SODIUM/HYDROGEN EXCHANGER 1-RELATED (1 of 4)
Phvul.011G206900,Phvul.011G206900.1,K16251 - DNA-directed RNA polymerase V subunit 1 [EC:2.7.7.6] (NRPE1)  (1 of 1)
Phvul.001G254400,Phvul.001G254400.1,PTHR10551:SF9 - PROTEIN SINGED (1 of 1)
Phvul.003G008600,Phvul.003G008600.1,PTHR13871:SF43 - CYSTEINE/HISTIDINE-RICH C1 DOMAIN FAMILY PROTEIN (1 of 1)
Phvul.009G074000,Phvul.009G074000.1,PF05097 - Protein of unknown function (DUF688) (DUF688)  (1 of 11)
Phvul.007G108500,Phvul.007G108500.1,PTHR10641//PTHR10641:SF650 - MYB-LIKE DNA-BINDING PROTEIN MYB // SUBFAMILY NOT NAMED (1 of 2)
Phvul.008G106475,Phvul.008G106475.1,PTHR11709//PTHR11709:SF70 - MULTI-COPPER OXIDASE // SUBFAMILY NOT NAMED (1 of 2)
Phvul.006G134300,Phvul.006G134300.1,
Phvul.009G108100,Phvul.009G108100.1,PTHR33178:SF2 - PROTEIN POP3-RELATED (1 of 2)
Phvul.004G171100,Phvul.004G171100.2,
Phvul.003G263800,Phvul.003G263800.2,
Phvul.007G004900,Phvul.007G004900.4,
Phvul.001G195200,Phvul.001G195200.1,
Phvul.007G253000,Phvul.007G253000.1,PTHR14677:SF14 - ZINC FINGER AN1 AND C2H2 DOMAIN-CONTAINING STRESS-ASSOCIATED PROTEIN 11-RELATED (1 of 2)
Phvul.006G000600,Phvul.006G000600.1,PTHR10791:SF41 - BIDIRECTIONAL SUGAR TRANSPORTER SWEET6-RELATED (1 of 2)
Phvul.004G085700,Phvul.004G085700.1,PTHR11206:SF75 - MATE EFFLUX FAMILY PROTEIN (1 of 1)
Phvul.002G205800,Phvul.002G205800.1,"K10885 - ATP-dependent DNA helicase 2 subunit 2 (XRCC5, KU80, G22P2)  (1 of 1)"
Phvul.003G091400,Phvul.003G091400.1,
Phvul.001G016200,Phvul.001G016200.2,
Phvul.008G153713,Phvul.008G153713.1,3.6.3.43 - Peptide-transporting ATPase (1 of 8)
Phvul.001G044100,Phvul.001G044100.2,
Phvul.009G041100,Phvul.009G041100.2,
Phvul.008G006400,Phvul.008G006400.2,
Phvul.009G137200,Phvul.009G137200.1,PTHR33374:SF6 - ARABINOGALACTAN PEPTIDE 16-RELATED (1 of 3)
Phvul.001G144400,Phvul.001G144400.1,
Phvul.002G147400,Phvul.002G147400.1,4.2.1.134 - Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase (1 of 3)
Phvul.004G106900,Phvul.004G106900.1,PTHR22814:SF129 - COPPER TRANSPORT FAMILY PROTEIN-RELATED (1 of 9)
Phvul.004G166400,Phvul.004G166400.2,
Phvul.002G218100,Phvul.002G218100.3,
Phvul.002G286700,Phvul.002G286700.4,
Phvul.002G088100,Phvul.002G088100.1,PF14111 - Domain of unknown function (DUF4283) (DUF4283)  (1 of 81)
Phvul.011G152200,Phvul.011G152200.1,PTHR27002:SF129 - INACTIVE G-TYPE LECTIN S-RECEPTOR-LIKE SERINE/THREONINE-PROTEIN KINASE SRK-RELATED (1 of 7)
Phvul.005G069600,Phvul.005G069600.1,PTHR23069//PTHR23069:SF3 - TAT-BINDING HOMOLOG 7 // SUBFAMILY NOT NAMED (1 of 1)
Phvul.002G210600,Phvul.002G210600.1,3.6.3.36 - Taurine-transporting ATPase (1 of 2)
Phvul.002G152100,Phvul.002G152100.1,PTHR27000:SF7 - F16P17.10 PROTEIN (1 of 1)
Phvul.011G175100,Phvul.011G175100.4,
Phvul.001G031700,Phvul.001G031700.1,PTHR24078:SF272 - CHAPERONE DNAJ-DOMAIN CONTAINING PROTEIN (1 of 1)
Phvul.003G012600,Phvul.003G012600.1,PTHR34052:SF1 - AUXIN RESPONSE FACTOR 30-RELATED (1 of 3)
Phvul.002G162000,Phvul.002G162000.5,
Phvul.010G010050,Phvul.010G010050.3,
Phvul.005G068000,Phvul.005G068000.1,PTHR33388:SF1 - F1K23.3 (1 of 2)
Phvul.004G156500,Phvul.004G156500.1,
Phvul.002G031700,Phvul.002G031700.1,PTHR11709:SF116 - LACCASE-11 (1 of 2)
Phvul.L002137,Phvul.L002137.1,PTHR22814//PTHR22814:SF47 - COPPER TRANSPORT PROTEIN ATOX1-RELATED // SUBFAMILY NOT NAMED (1 of 8)
Phvul.008G077750,Phvul.008G077750.1,PTHR27006:SF3 - LRR RECEPTOR-LIKE SERINE/THREONINE-PROTEIN KINASE RFK1-RELATED (1 of 4)
Phvul.007G166700,Phvul.007G166700.3,K11462 - polycomb protein EED (EED)  (1 of 2)
Phvul.004G171500,Phvul.004G171500.1,2.3.1.129 - Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase / UDP-N-acetylglucosamine acyltransferase (1 of 1)
Phvul.002G108200,Phvul.002G108200.1,PF03004 - Plant transposase (Ptta/En/Spm family) (Transposase_24)  (1 of 17)
Phvul.003G284800,Phvul.003G284800.2,PTHR31065:SF2 - PLATZ TRANSCRIPTION FACTOR DOMAIN-CONTAINING PROTEIN (1 of 2)
Phvul.006G127500,Phvul.006G127500.2,1.1.1.31 - 3-hydroxyisobutyrate dehydrogenase (1 of 1)
Phvul.009G208100,Phvul.009G208100.3,
Phvul.006G150800,Phvul.006G150800.1,PF01535//PF13041 - PPR repeat (PPR)  // PPR repeat family (PPR_2)  (1 of 197)
Phvul.003G205000,Phvul.003G205000.1,K17987 - next to BRCA1 gene 1 protein (NBR1)  (1 of 1)
Phvul.002G178400,Phvul.002G178400.1,PTHR24343:SF136 - CBL-INTERACTING SERINE/THREONINE-PROTEIN KINASE 23 (1 of 3)
Phvul.009G175500,Phvul.009G175500.1,PTHR13948:SF19 - D111/G-PATCH DOMAIN-CONTAINING PROTEIN (1 of 1)
Phvul.001G079400,Phvul.001G079400.1,PF11145 - Protein of unknown function (DUF2921) (DUF2921)  (1 of 6)
Phvul.007G082200,Phvul.007G082200.1,
Phvul.003G085500,Phvul.003G085500.1,PF05421 - Protein of unknown function (DUF751) (DUF751)  (1 of 1)
Phvul.011G185800,Phvul.011G185800.1,
Phvul.008G245600,Phvul.008G245600.5,
Phvul.007G085800,Phvul.007G085800.1,
Phvul.001G252900,Phvul.001G252900.1,PTHR24078:SF315 - MOLECULAR CHAPERONE DNAJ (1 of 2)
Phvul.010G086300,Phvul.010G086300.1,PTHR12329:SF15 - BAG FAMILY MOLECULAR CHAPERONE REGULATOR 4 (1 of 4)
Phvul.007G054900,Phvul.007G054900.1,"PTHR24096:SF221 - PROTEIN ACS-13, ISOFORM C (1 of 1)"
Phvul.002G245200,Phvul.002G245200.1,PTHR32227:SF127 - CARBOHYDRATE-BINDING X8 DOMAIN-CONTAINING PROTEIN (1 of 4)
Phvul.008G005200,Phvul.008G005200.1,PTHR12161:SF23 - REGULATOR OF VPS4 ACTIVITY IN THE MVB PATHWAY PROTEIN (1 of 2)
Phvul.009G110500,Phvul.009G110500.1,PF08670 - MEKHLA domain (MEKHLA)  (1 of 6)
Phvul.007G238400,Phvul.007G238400.1,K11346 - inhibitor of growth protein 4 (ING4)  (1 of 2)
Phvul.011G028400,Phvul.011G028400.1,KOG2444 - WD40 repeat protein (1 of 2)
Phvul.002G295900,Phvul.002G295900.1,PTHR37750:SF1 - COX19-LIKE CHCH FAMILY PROTEIN (1 of 1)
Phvul.004G126800,Phvul.004G126800.1,
Phvul.007G009800,Phvul.007G009800.1,1.8.5.1 - Glutathione dehydrogenase (ascorbate) (1 of 2)
Phvul.009G004200,Phvul.009G004200.2,
Phvul.008G022200,Phvul.008G022200.1,PTHR35727:SF1 - CONSERVED PEPTIDE UPSTREAM OPEN READING FRAME 10-RELATED (1 of 2)
Phvul.009G184400,Phvul.009G184400.2,
Phvul.005G022400,Phvul.005G022400.1,PTHR13710//PTHR13710:SF83 - DNA HELICASE RECQ FAMILY MEMBER // SUBFAMILY NOT NAMED (1 of 1)
Phvul.006G022732,Phvul.006G022732.1,PTHR10052//PTHR10052:SF12 - 60S RIBOSOMAL PROTEIN L18A // SUBFAMILY NOT NAMED (1 of 5)
Phvul.004G165800,Phvul.004G165800.1,PTHR23503:SF37 - PLASTIDIC GLUCOSE TRANSPORTER 2-RELATED (1 of 1)
Phvul.010G120500,Phvul.010G120500.1,PTHR24348:SF26 - PROTEIN KINASE FAMILY PROTEIN (1 of 1)
Phvul.005G066900,Phvul.005G066900.1,"K10580 - ubiquitin-conjugating enzyme E2 N (UBE2N, BLU, UBC13)  (1 of 2)"
Phvul.003G006600,Phvul.003G006600.1,PTHR22883:SF35 - PALMITOYLTRANSFERASE ZDHHC6 (1 of 1)
Phvul.005G046000,Phvul.005G046000.1,1.11.1.7 - Peroxidase / Lactoperoxidase (1 of 96)
Phvul.009G228900,Phvul.009G228900.1,PTHR14155//PTHR14155:SF93 - RING FINGER DOMAIN-CONTAINING // SUBFAMILY NOT NAMED (1 of 2)
Phvul.008G140600,Phvul.008G140600.1,PTHR11926:SF189 - UDP-GLYCOSYLTRANSFERASE 72B2-RELATED (1 of 3)
Phvul.003G294900,Phvul.003G294900.1,PTHR32175:SF0 - P-LOOP CONTAINING NUCLEOSIDE TRIPHOSPHATE HYDROLASE FAMILY PROTEIN (1 of 1)
Phvul.005G061066,Phvul.005G061066.1,K06892 - feruloyl-CoA ortho-hydroxylase (F6H1)  (1 of 3)
Phvul.004G053600,Phvul.004G053600.2,
Phvul.001G267400,Phvul.001G267400.1,
Phvul.002G170200,Phvul.002G170200.1,PTHR31719:SF40 - NAC TRANSCRIPTION FACTOR 29 (1 of 2)
Phvul.010G159000,Phvul.010G159000.1,PTHR10366:SF461 - CINNAMOYL-COA:NADP OXIDOREDUCTASE-LIKE 1-RELATED (1 of 1)
Phvul.010G095600,Phvul.010G095600.1,"PTHR16254:SF13 - K(+) EFFLUX ANTIPORTER 1, CHLOROPLASTIC-RELATED (1 of 3)"
Phvul.008G128700,Phvul.008G128700.1,1.14.99.43 - Beta-amyrin 24-hydroxylase / Sophoradiol 24-hydroxylase (1 of 1)
